parti;groupe;
Ecologie 92;Ecologiste;
Ecologie citoyenneté et laïcité;Centre gauche;
Centre d'études politiques écologiques et sociales;Ecologiste;
Initiatives 92;Indépendant/micro-partis;
Union du Centre;Indépendant/micro-partis;
Démocrates Ve République;Indépendant/micro-partis;
Mouvement Femmes-Avenir;Indépendant/micro-partis;
Mouvement progressiste guadeloupéen;Indépendant/micro-partis;
Groupe Union et défense;Indépendant/micro-partis;
Fédération du Parti socialiste;Indépendant/micro-partis;
Mouvement socialiste guadeloupéen;Indépendant/micro-partis;
Mouvement des démocrates sociaux;Indépendant/micro-partis;
Association de défense de la famille en Yvelines;Indépendant/micro-partis;
Gaullistes d'opposition;Indépendant/micro-partis;
Groupe Réalisme et efficacité;Indépendant/micro-partis;
divers modérés;Indépendant/micro-partis;
Meudon écologie;Indépendant/micro-partis;
Démocrates sociaux;Indépendant/micro-partis;
Club Louise-Michel;Indépendant/micro-partis;
Progrès et liberté;Indépendant/micro-partis;
Union royaliste tourangelle;Indépendant/micro-partis;
giscardiens;Indépendant/micro-partis;
Entente des démocrates bretons;Indépendant/micro-partis;
Trop d'immigrés la France aux Français;Indépendant/micro-partis;
Rennes autogestion socialiste;Indépendant/micro-partis;
Gaullistes de progrès et d'opposition;Indépendant/micro-partis;
Démocrates socialistes;Indépendant/micro-partis;
Comité d'études pour un Nouveau Contrat Social;Indépendant/micro-partis;
Union pour la défense et illustration de Paris;Indépendant/micro-partis;
Mouvement de la gauche indépendante;Indépendant/micro-partis;
Mouvement anarchiste non-violent;Indépendant/micro-partis;
Parti fédéraliste européen de France;Indépendant/micro-partis;
Mouvement des démocrates socialistes de France;Indépendant/micro-partis;
Ecologie 2000;Indépendant/micro-partis;
Union savoyarde des républicains de progrès;Indépendant/micro-partis;
Clubs Ciel et Terre;Indépendant/micro-partis;
Vallée de la Lys-Nature;Indépendant/micro-partis;
Nord-Nature;Indépendant/micro-partis;
Groupement de recherche et d'action non violence;Indépendant/micro-partis;
Te taata Tahiti tiama;Indépendant/micro-partis;
Mouvement socialiste occitan;Indépendant/micro-partis;
droite libérale;Indépendant/micro-partis;
Entente républicaine du Sud-Ouest;Indépendant/micro-partis;
radicaux-travaillistes;Indépendant/micro-partis;
Front autonomiste de libération;Indépendant/micro-partis;
Mouvement social chrétien;Indépendant/micro-partis;
Mouvement des enseignants libéraux;Indépendant/micro-partis;
Groupe de recherche et d'action non violente;Indépendant/micro-partis;
Unio catalana per l'autonomia;Indépendant/micro-partis;
Euskal herriko alderdi sozialista;Indépendant/micro-partis;
Coordination pour une alternative révolutionnaire;Indépendant/micro-partis;
Société pour l'étude la protection et l'aménagement de la nature dans le Sud-Ouest;Indépendant/micro-partis;
Groupe écologie;Indépendant/micro-partis;
Mouvement démocratie chrétienne;Indépendant/micro-partis;
Démocrate socialiste;Indépendant/micro-partis;
indépendants radicaux écologistes;Indépendant/micro-partis;
Information pour les droits des soldats;Indépendant/micro-partis;
Parti communiste marxiste-léniniste;Indépendant/micro-partis;
Comité français pour l'union paneuropéenne;Indépendant/micro-partis;
Parti de la Jeune République;Indépendant/micro-partis;
Démocrates Chrétiens;Indépendant/micro-partis;
centre gauche;Indépendant/micro-partis;
Parti socialiste martiniquais;Indépendant/micro-partis;
Comité pour l'autogestion socialiste;Indépendant/micro-partis;
Parti progressiste martiniquais;Indépendant/micro-partis;
centriste de progrès;Indépendant/micro-partis;
Vosges écologie;Indépendant/micro-partis;
